ID,Pop,SuperPop
HG01879,ACB,AFR
HG01880,ACB,AFR
HG01882,ACB,AFR
HG01883,ACB,AFR
HG01885,ACB,AFR
HG01886,ACB,AFR
HG01889,ACB,AFR
HG01890,ACB,AFR
HG01894,ACB,AFR
HG01896,ACB,AFR
HG01912,ACB,AFR
HG01914,ACB,AFR
HG01915,ACB,AFR
HG01956,ACB,AFR
HG01958,ACB,AFR
HG01985,ACB,AFR
HG01986,ACB,AFR
HG01988,ACB,AFR
HG01989,ACB,AFR
HG01990,ACB,AFR
HG02009,ACB,AFR
HG02010,ACB,AFR
HG02012,ACB,AFR
HG02013,ACB,AFR
HG02014,ACB,AFR
HG02051,ACB,AFR
HG02052,ACB,AFR
HG02053,ACB,AFR
HG02054,ACB,AFR
HG02095,ACB,AFR
HG02107,ACB,AFR
HG02108,ACB,AFR
HG02111,ACB,AFR
HG02143,ACB,AFR
HG02144,ACB,AFR
HG02255,ACB,AFR
HG02256,ACB,AFR
HG02281,ACB,AFR
HG02282,ACB,AFR
HG02283,ACB,AFR
HG02284,ACB,AFR
HG02307,ACB,AFR
HG02308,ACB,AFR
HG02309,ACB,AFR
HG02314,ACB,AFR
HG02315,ACB,AFR
HG02317,ACB,AFR
HG02318,ACB,AFR
HG02322,ACB,AFR
HG02323,ACB,AFR
HG02325,ACB,AFR
HG02330,ACB,AFR
HG02332,ACB,AFR
HG02334,ACB,AFR
HG02337,ACB,AFR
HG02339,ACB,AFR
HG02343,ACB,AFR
HG02419,ACB,AFR
HG02420,ACB,AFR
HG02427,ACB,AFR
HG02429,ACB,AFR
HG02433,ACB,AFR
HG02439,ACB,AFR
HG02442,ACB,AFR
HG02445,ACB,AFR
HG02449,ACB,AFR
HG02450,ACB,AFR
HG02455,ACB,AFR
HG02470,ACB,AFR
HG02471,ACB,AFR
HG02476,ACB,AFR
HG02477,ACB,AFR
HG02479,ACB,AFR
HG02481,ACB,AFR
HG02484,ACB,AFR
HG02485,ACB,AFR
HG02489,ACB,AFR
HG02496,ACB,AFR
HG02497,ACB,AFR
HG02501,ACB,AFR
HG02502,ACB,AFR
HG02505,ACB,AFR
HG02508,ACB,AFR
HG02511,ACB,AFR
HG02536,ACB,AFR
HG02537,ACB,AFR
HG02541,ACB,AFR
HG02545,ACB,AFR
HG02546,ACB,AFR
HG02549,ACB,AFR
HG02554,ACB,AFR
HG02555,ACB,AFR
HG02557,ACB,AFR
HG02558,ACB,AFR
HG02577,ACB,AFR
